objID,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
587745541047451840,133.01147281,11.76770524,14.71348,15.05371,13.01098,12.91496,13.03314
587745243083702867,133.01165771,11.9360107,24.48022,21.61295,20.439,19.95997,19.71104
587745541047451842,133.01166959,11.76775608,16.48578,15.22589,24.78883,24.35322,14.73261
587745243083703426,133.01182189,11.97897427,24.52674,25.73234,22.70728,21.62397,21.23894
587745243083702854,133.01182651,11.85899768,24.26178,21.93336,20.31261,19.30456,18.72789
587744873716515584,133.01208248,12.04068936,24.15955,22.70498,21.34735,20.02379,19.23989
587745541047452237,133.01213147,11.72706362,21.90415,19.44359,18.00653,17.31632,16.91593
587745243083703418,133.01219557,11.96107571,23.0832,23.671,22.1883,21.00347,20.46963
587745541047452231,133.01230156,11.71692673,21.72892,19.06751,17.83287,17.37819,17.13548
587745541047451817,133.01240895,11.75106593,17.7264,16.31245,15.77644,15.60653,15.51308
587744873716515374,133.01246322,12.02693837,22.23263,21.42828,20.99488,20.70123,20.5826
587745403608630316,133.01258744,11.5657007,25.31434,24.01064,22.78821,23.12688,22.54789
587745403608695433,133.07011326,11.63112517,22.70492,21.52576,20.90707,20.79792,20.6576
587745541047452061,133.07014576,11.80865119,16.54299,14.8878,14.17559,13.88383,13.71955
587745403608696016,133.07024451,11.55785275,23.44076,24.16562,23.93826,22.50612,21.06788
587745541047453006,133.07041357,11.65350018,23.82817,23.43672,22.37222,22.01869,21.81033
587745541047452306,133.07047079,11.81669486,20.85167,18.14177,16.73737,16.10582,15.72367
587744873716580670,133.07053572,12.03892922,24.16326,21.03481,19.53396,18.46814,17.80957
587745243083702618,133.07057381,11.9371741,17.47988,16.14759,15.66409,15.53065,15.44222
587745541047452015,133.07084407,11.73064877,24.20155,20.49212,18.99661,18.17937,17.77342
587745541047452280,133.07094777,11.68575528,20.50932,17.77942,16.27344,14.81633,14.04916
587745243083703230,133.07096183,11.91701232,23.92694,23.07147,23.08817,22.37406,21.39707
587745243083702930,133.0711319,11.83026999,24.98054,22.16859,20.71519,19.44552,18.80071
587745243083702561,133.07137841,11.86163698,19.94887,18.98324,18.70198,18.60802,18.56863
587745541047452472,133.07149335,11.67556206,23.83613,22.30105,20.9528,20.26524,19.90658
587745541047452781,133.07158696,11.78437876,23.51294,24.5957,22.90483,21.66362,21.60758
587745403608629671,133.01834893,11.56938366,21.26415,18.66183,17.396,16.8789,16.58775
587744873716515045,133.01845008,12.03754381,18.92348,17.91321,17.57626,17.37624,17.3209
587745541047452916,133.01864001,11.65762957,26.10634,23.28378,21.52929,21.02491,20.4803
587745541047452243,133.0186517,11.71546248,20.94349,18.30538,17.03866,16.57215,16.31264
587745403608630461,133.01878997,11.62943354,23.42506,25.00932,23.44143,21.84548,21.2612
587744873716515046,133.01886947,12.03895621,25.3807,21.47716,19.94538,18.65348,17.99348
587745243083703603,133.01891023,11.84145131,23.19382,25.94229,25.20266,24.66447,20.50754
587745541047453214,133.01891934,11.80251705,23.42801,24.51892,23.46759,21.89392,21.47222
587745243083702487,133.01898734,11.98021954,18.02077,16.1335,15.44694,15.18245,15.05788
587745541047452046,133.06855334,11.80171646,17.73701,16.46198,15.95179,15.7936,15.73183
587745541047452043,133.06871622,11.79392118,16.66034,15.20725,14.68545,14.48623,14.43006
587745243083702581,133.06873694,11.87778471,17.75192,20.66125,17.23952,24.36311,15.63654
587745541047451989,133.06932855,11.7082974,14.89288,13.71356,13.33149,13.22712,13.2158
