z,petroMag_r
0.1747015,17.43643
0.0656463,17.43556
0.06566764,17.43556
0.2434362,17.8119
0.2435239,17.8119
0.1743736,17.63537
0.1742288,17.63537
0.09303447,16.95621
0.09303017,16.95621
0.1969385,17.37626
0.1969343,17.37626
0.1904114,17.84198
0.1904164,17.84198
0.04498773,17.06491
0.3554933,18.94709
0.4662475,19.21472
0.3699467,18.64295
0.08592703,15.63778
0.09566937,17.07335
0.3584977,18.24616
0.09458235,16.2801
0.09456869,16.2801
0.09501516,17.64698
0.09502017,17.64698
0.06377522,16.45966
0.06376865,16.45966
0.190023,17.84079
0.1900898,17.84079
0.04161749,17.17041
0.04388978,16.10568
0.3566161,18.55972
0.0471465,16.54249
0.04140621,16.43362
0.0426452,16.83133
0.09808032,16.72693
0.04715846,15.97554
0.04111088,15.46049
0.04055981,15.73159
0.04628501,16.70896
0.04862739,16.23464
0.04507175,16.41623
0.04243781,17.49656
0.04247649,16.12763
0.04499136,16.61147
0.06230282,17.75247
0.04518585,16.83098
0.09436264,17.28546
0.0943219,17.28546
0.1375598,17.71631
0.1375457,17.71631
0.1352101,17.89171
0.135132,17.89171
0.1360787,17.27196
0.1361056,17.27196
0.04726475,16.62945
0.04723592,16.62945
0.1685575,17.22754
0.1685187,17.22754
0.1364336,15.90564
0.1363515,15.90564
0.09424465,16.43498
0.09419063,16.43498
0.0683838,17.01328
0.06834973,17.01328
0.1386286,17.20666
0.1385223,17.20666
0.0683071,16.49796
0.06837906,16.49796
0.04619412,17.66321
0.04623836,17.66321
0.01590442,20.50602
0.1648705,17.2071
0.1649299,17.2071
0.09748159,17.41069
0.09746779,17.41069
0.09673838,17.43017
0.09683676,17.43017
0.4917432,19.77474
0.4919556,19.77474
0.1396852,16.77487
0.139625,16.77487
0.04327096,17.19071
0.04333953,17.19071
0.0447254,17.39158
0.04464993,17.39158
0.04287855,15.98521
0.04292916,15.98521
0.04349883,17.6902
0.04358809,17.6902
0.04391466,17.2291
0.04397503,17.2291
0.3154197,17.72537
0.31528,17.72537
0.2347792,17.98277
0.2347985,17.98277
0.04372502,17.71247
0.04366974,17.71247
0.3191343,18.59443
0.3187055,18.59443
0.08736542,16.86008
0.08732212,16.86008
0.0799773,15.83121
0.07988879,15.83121
0.08141802,17.77151
0.08136601,17.77151
0.07979373,17.0671
0.07983417,17.0671
0.3155244,18.22999
0.3154505,18.22999
0.1485945,17.79233
0.1485598,17.79233
0.1193129,17.84348
0.1192438,17.84348
0.3765883,19.11753
0.376727,19.11753
0.1189645,17.61621
0.1190812,17.61621
0.1191662,17.60416
0.1191831,17.60416
0.06947755,17.81479
0.06939279,17.81479
0.1415919,16.87824
0.1416581,16.87824
0.1926386,17.82727
0.192677,17.82727
0.3917749,18.82548
